rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
92	C6H8O5	[M - H]-	C6H8O5	93.61971932135329	90.76177258897565	2.857946732377638	13	0.9420961287453921	-1.4250544906574054	3.2365669893965285	1.8430216964383925		159.03019	60.14	21_LimoneneNegative_21
93	C9H14O3	[M - H]-	C9H14O3	92.9386598110736	87.69224896779149	5.246410843282119	16	0.9137161611749287	1.2139488919632773	3.049408277692147	2.2600388353322702		169.08740	885.73	426_LimoneneNegative_429
94	C7H12O6	[M - H]-	C7H12O6	92.84952687493092	89.92790960641136	2.9216172685195607	20	0.8370828884392243	-0.8445941582605583	3.042649072672308	1.5092302092448182		191.05640	60.14	23_LimoneneNegative_23
95	C8H16O5	[M - H]-	C8H16O5	92.5256589704912	87.76390290854705	4.761756061944144	24	0.9325259121454877	1.3364407824991977	2.608373496157036	1.2707970514740088		191.09274	85.33	60_LimoneneNegative_61
96	C10H16O4	[M - H2O - H]-	C10H14O3	92.31784206357199	89.1504465950271	3.1673954685448873	15	0.9456717790559853	1.3640877910483997	2.727123755920175	-99455.5643089609		181.08743	381.57	287_LimoneneNegative_290
97	C12H18O6	[M - H]-	C12H18O6	91.9289272207424	88.53247306614215	3.3964541546002516	13	0.8860799684210976	1.8830897408978393	2.665068491202431	0.770725701825439		257.10326	221.33	205_LimoneneNegative_208
98	C9H14O4	[M - H2O - H]-	C9H12O3	91.51789067952586	88.30656072715371	3.211329952372155	13	0.9305223175533424	1.3965492191409616	3.1168077455331753	-107799.61962377856		167.07167	219.27	198_LimoneneNegative_201
99	C15H24O6	[M - H]-	C15H24O6	91.3099845922457	87.56748069871017	3.7425038935355226	13	0.9223493250522845	1.1844326805798342	2.027980343150347	0.5280427906499683		299.15017	450.7	314_LimoneneNegative_317
100	C8H16O4	[M - H]-	C8H16O4	90.89777661389488	87.79351809013176	3.104258523763115	12	0.8692817982941713	1.928528830606361	3.2910475397865397	1.641710950184212		175.09787	253.48	227_LimoneneNegative_230
101	C5H8O5	[M - H]-	C5H8O5	90.61126789108917	87.98425180419817	2.6270160868910013	12	0.9508813055619607	0.18455337224328489	2.88896297157038	2.6055591444079775		147.03028	53.76	6_LimoneneNegative_6
102	C9H14O4	[M - H2O - H]-	C9H12O3	90.3806773657111	85.07200844127864	5.308668924432447	13	0.9210442534224769	2.356918218113924	2.709777080290341	-107799.42070326378		167.07170	316.16	267_LimoneneNegative_270
103	C18H30O9	[M - H]-	C18H30O9	90.31193552285706	87.03311571136278	3.2788198114942713	24	0.9208759910707411	2.348642694977182	2.86714889750519	-46277.43320947454		389.18193	577.32	351_LimoneneNegative_354
