rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
25	C10H16O7	[M - H]-	C10H16O7	143.98092119697745	140.574233790837	3.406687406140443	49	0.937505106184611	1.6548770619597746	2.087406081077189	-72893.08495148952		247.08230	53.76	8_LimoneneNegative_8
26	C10H14O7	[M - H]-	C10H14O7	140.73332282771176	137.30070751126482	3.4326153164469515	37	0.9653691928536151	1.9399534271759913	2.4542353230801757	-0.06665904466906433		245.06666	119.07	107_LimoneneNegative_108
27	C8H12O5	[M - H]-	C8H12O5	140.32418717441237	135.20448121418923	5.119705960223156	31	0.9230632297530202	1.2156446688226974	2.923634469686557	1.5127010143668007		187.06148	112.69	96_LimoneneNegative_97
28	C9H18O5	[M - H]-	C9H18O5	138.05147284779213	134.72413113755914	3.3273417102329756	39	0.9449554456778271	1.1162910961544905	3.0540230433777236	0.4035727408444372		205.10823	60.14	24_LimoneneNegative_24
29	C9H16O5	[M - H]-	C9H16O5	137.3865210442322	134.289905680335	3.096615363897196	33	0.9247487379756669	2.0491227325466914	2.647080768988329	1.29418739770161		203.09276	125.47	110_LimoneneNegative_111
30	C9H14O5	[M - H]-	C9H14O5	134.9997080939981	131.84639234533654	3.153315748661559	40	0.9124026607651935	0.7291093876684644	2.863617247332785	1.4566752370321927		201.07714	167.73	156_LimoneneNegative_157
31	C9H14O5	[M - H2O - H]-	C9H12O4	133.6547742145824	130.42440489082944	3.2303693237529587	30	0.9606307893416494	2.3116281235423015	3.3660242693201026	-98381.20661432417		183.06654	176.24	162_LimoneneNegative_164
32	C7H10O5	[M - H]-	C7H10O5	132.22648111858808	129.2008248095866	3.025656309001468	26	0.9662831740780672	0.15736177796934084	3.2255118578629838	-104078.54923408377		173.04576	60.14	22_LimoneneNegative_22
33	C8H16O5	[M - H]-	C8H16O5	130.95927814224083	125.9609464357228	4.998331706518023	39	0.9215490257133023	1.383874998666694	2.7741098394928607	1.5324497097245795		191.09279	74.87	46_LimoneneNegative_46
34	C9H14O4	[M - H]-	C9H14O4	130.93096061891652	125.72019180932439	5.210768809592123	30	0.9395201875129262	0.673375262351828	2.5154501264503866	1.3373739736885015		185.08218	290.48	249_LimoneneNegative_252
35	C9H16O6	[M - H]-	C9H16O6	129.52367275950303	126.25837689088192	3.2652958686211053	38	0.947077527575705	1.2073004965633192	2.6794164414822768	-82206.82278075049		219.08749	55.88	13_LimoneneNegative_13
36	C9H14O6	[M - H]-	C9H14O6	128.19665145295872	124.87323577490879	3.323415678049921	37	0.9534151934167818	1.5918683596877987	3.1699563809088827	0.4067044647477261		217.07185	106.33	91_LimoneneNegative_92
37	C9H14O5	[M - H]-	C9H14O5	125.41312332828446	120.2299780983327	5.183145229951762	36	0.9146287811316297	1.8555488781787144	2.98507961342328	1.7053356005159233		201.07719	234.1	219_LimoneneNegative_222
38	C9H14O5	[M - H2O - H]-	C9H12O4	124.95606989693643	119.51201437092156	5.444055526014864	27	0.9282134495878112	2.2498632486403514	2.9579958175754806	-98381.50660948083		183.06649	97.88	77_LimoneneNegative_78
39	C7H10O5	[M - H]-	C7H10O5	124.10774329517787	121.0517390975013	3.0560041976765775	28	0.9538860053075244	-1.6336673479592725	2.6038770237997326	1.1732856227516653		173.04575	68.55	39_LimoneneNegative_39
40	C9H14O5	[M - H2O - H]-	C9H12O4	122.85201901943172	119.59953945854784	3.252479560883887	25	0.963549652055022	2.50225385093767	3.1157103066021685	-98381.26661334239		183.06653	119.07	104_LimoneneNegative_105
41	C8H12O4	[M - H]-	C8H12O4	122.5937195818297	119.5587269703358	3.0349926114939065	26	0.945021484875217	1.2172023132384322	3.1079651005904947	1.914973883727498		171.06661	140.25	126_LimoneneNegative_127
42	C7H12O5	[M - H]-	C7H12O5	122.00895745261862	119.03981596164031	2.969141490978308	31	0.9335112367451414	0.3097859252641966	2.5768766680571575	1.2165336184094355		175.06141	66.44	34_LimoneneNegative_34
43	C10H16O5	[M - H]-	C10H16O5	120.63332619085364	116.3558994364842	4.277426754369442	32	0.9331880460883427	2.2355012539391224	3.0546032668373506	0.5246116571167602		215.09261	215.11	192_LimoneneNegative_195
44	C9H14O5	[M - H]-	C9H14O5	119.00140352961765	115.78236448389194	3.2190390457257014	35	0.8995717597139823	0.8523083088058996	3.0762235845255215	1.158282637445355		201.07708	144.45	129_LimoneneNegative_130
45	C10H16O5	[M - H]-	C10H16O5	117.42608000568336	110.27414862782177	7.15193137786158	36	0.933994267650494	2.1248624901076107	2.798281513823995	0.5246116571167602		215.09261	253.48	229_LimoneneNegative_232
46	C8H14O5	[M - H]-	C8H14O5	116.93526880156912	111.77428902166979	5.160979779899335	29	0.916012572062457	0.984489886210524	2.5470160392221652	1.2846828272816382		189.07709	81.17	55_LimoneneNegative_55
47	C7H10O6	[M - H]-	C7H10O6	115.24597843667254	110.1015522492967	5.144426187375841	27	0.906753771466879	1.1909310696340203	2.486381396472348	1.4198638068553204		189.04073	64.34	29_LimoneneNegative_29
48	C20H32O8	[M - H]-	C20H32O8	114.95129291896798	111.07073445613699	3.8805584628309946	33	0.9151984527701231	1.6650892057524964	2.1917975004053583	-0.3294868445529195		399.20231	712.98	388_LimoneneNegative_391
49	C19H32O9	[M - H]-	C19H32O9	114.64035530078829	110.84666436898105	3.7936909318072365	31	0.9079728940814803	1.990522059843391	2.3357454680121825	0.03434568665977364		403.19737	762.39	404_LimoneneNegative_407
50	C10H16O4	[M - H]-	C10H16O4	114.22911377186523	109.11446240633227	5.114651365532967	34	0.9395536438761926	1.8048989593835056	2.6651393834705113	-90459.19780830159		199.09791	944.63	438_LimoneneNegative_441
51	C11H20O4	[M - H]-	C11H20O4	112.26276908643656	108.83553952627626	3.4272295601603027	27	0.750720861631906	1.3095570450939205	2.775860711780773	0.7313382262939514		215.12904	523.87	332_LimoneneNegative_335
52	C9H14O7	[M - H]-	C9H14O7	109.77040186180122	106.37705324092666	3.3933486208745562	28	0.9681184359877404	1.187603939434597	2.053875378888001	0.1873458834225011		233.06672	58.01	19_LimoneneNegative_19
53	C10H20O5	[M - H]-	C10H20O5	109.44303962322057	109.44303962322057	0.0	29	0.8856728711220133	1.966176459407491	2.695558464581605	0.46873978854841536		219.12390	49.49	2_LimoneneNegative_2
54	C9H14O5	[M - H2O - H]-	C9H12O4	109.40169385166102	106.19472980578178	3.2069640458792414	23	0.9492743078699575	2.3353696972965987	3.1084257960040604	-98381.02661730883		183.06657	257.73	235_LimoneneNegative_238
55	C10H16O4	[M - H]-	C10H16O4	109.36914152282299	104.0473097994387	5.321831723384296	29	0.8663010829410887	1.5960464820769065	2.74453670522064	1.2429070197311298		199.09783	416.12	301_LimoneneNegative_304
56	C8H12O4	[M - H]-	C8H12O4	109.25819700416625	106.2746481209749	2.9835488831913466	22	0.9579097929238953	1.3749546043140402	3.3915326877596006	2.1488004268540584		171.06665	159.27	141_LimoneneNegative_142
56	C8H12O4	[M - H]-	C8H12O4	109.2417659623992	106.18153112514324	3.060234837255965	23	0.9663780563829052	1.5947861533062084	3.287103942824011	2.0903438013239732		171.06664	169.84	157_LimoneneNegative_158
57	C7H10O4	[M - H]-	C7H10O4	107.71478956494508	104.74158001389112	2.973209551053952	24	0.954527470788384	-0.29925012145883967	2.257623202490792	1.6405643453487935		157.05089	81.17	54_LimoneneNegative_54
58	C11H18O5	[M - H]-	C11H18O5	107.33794902448399	103.9002372635753	3.437711760908688	30	0.9719711448648491	2.0733291510185357	2.4519079478300747	0.36129688816002475		229.10823	290.48	251_LimoneneNegative_254
59	C10H16O5	[M - H2O - H]-	C10H14O4	107.3084260235625	104.83531698690933	2.4731090366531636	29	0.974337527192235	2.5895642200609204	2.745725855252161	-91384.58639196085		197.08222	221.33	203_LimoneneNegative_206
60	C9H14O5	[M - H2O - H]-	C9H12O4	106.52542116262903	103.41713561323516	3.108285549393871	21	0.956963084768597	1.0254664339806845	3.119432513869225	-98380.96661831698		183.06658	238.39	221_LimoneneNegative_224
61	C10H14O5	[M - H2O - H]-	C10H12O4	104.97154507205502	101.68848200060707	3.283063071447953	13	0.835235301213124	2.581668536480196	2.7047735899469236	-92328.87570591635		195.06657	231.97	212_LimoneneNegative_215
62	C8H12O6	[M - H]-	C8H12O6	103.99042826331443	100.98553411778735	3.004894145527079	27	0.9416022151508782	1.0664094437198075	2.781041290648181	1.321544738181649		203.05638	79.08	51_LimoneneNegative_51
63	C19H32O6	[M - H2O - H]-	C19H30O5	103.2741420257517	97.33329009711767	5.940851928634031	41	0.9472895660144769	1.6082284063666616	2.3649887448410887	-53410.68833409666		337.20240	957.71	443_LimoneneNegative_446
64	C9H14O5	[M - H]-	C9H14O5	102.68126011122895	97.25502468607021	5.426235425158734	26	0.9469414143771026	1.4282463428590044	3.037540027028742	1.2577468570939152		201.07710	97.88	79_LimoneneNegative_80
65	C18H28O10	[M - H]-	C18H28O10	102.32916326555407	98.3945997057765	3.9345635597775797	28	0.9269751313013423	1.645883735731088	2.7266808153515374	0.02320683557349686		403.16098	594.59	354_LimoneneNegative_357
66	C9H12O6	[M - H]-	C9H12O6	102.07741298642122	98.71249510457535	3.364917881845876	25	0.9172102373399095	1.250755376478336	2.824271292355135	0.3643145102670527		215.05619	138.17	121_LimoneneNegative_122
67	C9H14O3	[M - H]-	C9H14O3	101.21015771316276	96.40631080220405	4.803846910958715	14	0.9196989006538907	1.5988373278631256	2.9312451978380647	2.2600388353322702		169.08740	922.71	434_LimoneneNegative_437
68	C9H12O6	[M - H]-	C9H12O6	100.95405494716826	98.50805980477246	2.445995142395807	31	0.7934097638751806	1.8031757151859815	2.3412317589064067	1.2478034390015		215.05638	219.27	201_LimoneneNegative_204
69	C6H11N6O3	[M - H]-	C6H11N6O3	100.91912433373228	99.2601626729575	1.658961660774784	26	0.4247693514610441	-0.5047747541393915	4.204368226750373	-6.664593503790004		214.08056	197.82	178_LimoneneNegative_181
70	C20H32O7	[M - H]-	C20H32O7	100.29016310664001	96.46594988349614	3.824213223143872	29	0.9158949705352389	2.5017600768166934	3.202832762073077	0.3733956853402473		383.20767	783.98	408_LimoneneNegative_411
71	C18H30O9	[M - H]-	C18H30O9	99.71072397269992	95.86383346903312	3.8468905036667924	28	0.9059359124712175	1.9200031337023002	2.5336425438156525	0.3697810947509558		389.18185	553.57	346_LimoneneNegative_349
72	C8H14O3	[M - H]-	C8H14O3	99.60248124776965	96.51201141095828	3.090469836811365	17	0.9175395564406895	-0.28204513941449544	3.772830226329561	1.6687798691001192		157.08728	144.45	128_LimoneneNegative_129
73	C9H14O4	[M - H2O - H]-	C9H12O3	99.5794603112665	96.37822088351209	3.2012394277544165	15	0.9091590876624921	2.53303557214476	2.6957457291145737	-107799.55331693249		167.07168	159.27	140_LimoneneNegative_141
74	C9H12O5	[M - H]-	C9H12O5	99.07258046001442	95.92709186524235	3.1454885947720705	28	0.8254533367507126	1.9841399234517256	3.043244354082886	1.8233961923232511		199.06156	225.56	209_LimoneneNegative_212
75	C7H12O3	[M - H]-	C7H12O3	98.38673807423923	93.54861592214442	4.838122152094816	12	0.8823353187889896	-2.2747561910853107	3.052394170368992	2.042389740711134		143.07166	136.09	116_LimoneneNegative_117
76	C6H10O5	[M - H]-	C6H10O5	98.28981360482217	98.28981360482217	0.0	20	0.9221468807633708	-1.5213953818022152	2.555193341662795	2.1921209452960158		161.04590	51.63	4_LimoneneNegative_4
77	C20H32O9	[M - H]-	C20H32O9	97.03631995846331	93.26278667374409	3.7735332847192242	31	0.9148862518226973	1.7227530770531532	2.456289147701373	0.27420227431493305		415.19747	547.17	343_LimoneneNegative_346
78	C7H10O2	[M - H]-	C7H10O2	96.91811559642575	94.05034067753206	2.867774918893694	14	0.9301899101561094	1.1722690366151745	2.688992808656029	2.9337010883534025		125.06117	318.27	268_LimoneneNegative_271
79	C19H32O7	[M - H]-	C19H32O7	96.89888206451833	93.05224398599157	3.846638078526762	30	0.8488991392838461	1.837801272409409	2.243708408566066	-0.23413299426447562		371.20744	719.41	391_LimoneneNegative_394
80	C6H10O5	[M - H]-	C6H10O5	96.79271901717945	91.85429653231601	4.938422484863441	12	0.9263925052330625	1.6783982198302454	3.306446187433772	1.9437450336182052		161.04586	76.98	49_LimoneneNegative_49
81	C7H8O4	[M - H]-	C7H8O4	96.14066702317318	96.14066702317318	0.0	16	0.9119761008842465	1.2954314271848637	2.761544637280252	-116168.32527490957		155.03535	87.42	65_LimoneneNegative_66
82	C20H32O8	[M - H]-	C20H32O8	96.01070258248618	92.09049117702166	3.920211405464514	28	0.9253288762376062	0.6594808434201083	1.6577969906568941	-0.3795867740800902		399.20229	691.41	384_LimoneneNegative_387
83	C7H12O4	[M - H]-	C7H12O4	95.84352422921272	92.90112476956523	2.9423994596474943	16	0.8900794058220604	-0.043303703084345835	3.177792046029532	1.8079731683629212		159.06657	79.08	50_LimoneneNegative_50
84	C7H10O4	[M - H]-	C7H10O4	95.82543734789016	92.88720885282726	2.938228495062899	21	0.9609636698512539	-1.3169553273930197	3.306107522665983	2.0226053425968993		157.05095	131.92	114_LimoneneNegative_115
85	C6H10O4	[M - H]-	C6H10O4	95.69869455678753	90.83085759057934	4.867836966208189	20	0.9320348654355932	-1.4628121895685358	2.5914930193096266	2.3278168393928476		145.05097	74.87	45_LimoneneNegative_45
86	C10H14O7	[M - H]-	C10H14O7	95.63156957238999	93.26199575880882	2.3695738135811757	23	0.935099299383894	2.0010348018598045	2.3802570716071147	-0.025853819538519767		245.06667	68.55	41_LimoneneNegative_41
87	C8H12O3	[M - H]-	C8H12O3	95.31838260055721	92.59682271191113	2.7215598886460812	17	0.9493551837071006	2.5163774609792537	2.5163774609792537	2.529203838105863		155.07176	102.1	84_LimoneneNegative_85
88	C9H14O6	[M - H]-	C9H14O6	94.93734962064852	91.63874352698127	3.2986060936672486	29	0.9595783119496311	1.0973162180995297	2.6138584429971505	0.6370427980475486		217.07190	125.47	111_LimoneneNegative_112
89	C11H18O6	[M - H]-	C11H18O6	94.6880647356623	91.20688098551577	3.481183750146531	13	0.8594416742165942	1.2106410409027981	2.8378369853740835	0.31887021338153315		245.10314	253.48	230_LimoneneNegative_233
90	C10H18O3	[M - H]-	C10H18O3	94.35409268189325	91.06597965624167	3.2881130256515902	14	0.9419502538684722	1.9609733852669187	3.4039165620953122	1.6854926517173		185.11863	656.99	374_LimoneneNegative_377
91	C19H30O7	[M - H2O - H]-	C19H28O6	93.86059862134566	89.987167455773	3.873431165572649	15	0.9559346529045865	1.593543786117942	1.7304500934810214	-51285.15560646712		351.18148	983.98	448_LimoneneNegative_451
