"id","foldernumber","Carcinogenicity_predicted","predform","predion","exactMass"
"LimoneneNegative","273","Inactive","C13H16O7","C13H16O7_[M-H2O-H]-",284.08960282
"LimoneneNegative","274","Inactive","C7H8O2","C7H8O2_[M-H2O-H]-",124.05242948
"LimoneneNegative","275","Inactive","C8H14O2","C8H14O2_[M-H]-",142.09937966
"LimoneneNegative","276","Inactive","C9H14O2","C9H14O2_[M-H]-",154.09937966
"LimoneneNegative","276","Inactive","C9H14O2","C9H14O2_[M-H2O-H]-",154.09937966
"LimoneneNegative","277","Inactive","C9H16O3","C9H16O3_[M-H]-",172.10994434
"LimoneneNegative","278","Inactive","C10H14O3","C10H14O3_[M-H2O-H]-",182.09429428
"LimoneneNegative","279","Inactive","C10H16O5","C10H16O5_[M-H]-",216.09977358
"LimoneneNegative","28","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","280","Inactive","C12H18O5","C12H18O5_[M-H2O-H]-",242.11542364
"LimoneneNegative","281","Inactive","C12H18O5","C12H18O5_[M-H2O-H]-",242.11542364
"LimoneneNegative","282","Inactive","C8H14O2","C8H14O2_[M-H]-",142.09937966
"LimoneneNegative","283","Inactive","C14H20O7","C14H20O7_[M-H2O-H]-",300.12090294
"LimoneneNegative","284","Inactive","C8H8O2","C8H8O2_[M-H2O-H]-",136.05242948
"LimoneneNegative","285","Inactive","C8H14O3","C8H14O3_[M-H]-",158.09429428
"LimoneneNegative","286","Inactive","C12H20O5","C12H20O5_[M-H]-",244.1310737
"LimoneneNegative","287","Inactive","C10H14O3","C10H14O3_[M-H2O-H]-",182.09429428
"LimoneneNegative","288","Active","C16H22O9","C16H22O9_[M-H]-",358.12638224
"LimoneneNegative","289","Active","C17H24O9","C17H24O9_[M-H]-",372.1420323
"LimoneneNegative","29","Inactive","C7H10O6","C7H10O6_[M-H]-",190.04773802
"LimoneneNegative","290","Active","C17H26O10","C17H26O10_[M-H]-",390.15259698
"LimoneneNegative","291","Inactive","C8H14O2","C8H14O2_[M-H]-",142.09937966
"LimoneneNegative","292","Active","C16H22O9","C16H22O9_[M-H]-",358.12638224
"LimoneneNegative","293","Inactive","C10H18O5","C10H18O5_[M-H]-",218.11542364
"LimoneneNegative","294","Active","C11H18O5","C11H18O5_[M-H]-",230.11542364
"LimoneneNegative","295","Inactive","C13H16O6","C13H16O6_[M-H]-",268.0946882
"LimoneneNegative","296","Active","C15H22O7","C15H22O7_[M-H]-",314.136553
"LimoneneNegative","298","Inactive","C9H14O","C9H14O_[M-H2O-H]-",138.10446504
"LimoneneNegative","299","Inactive","C9H16O2","C9H16O2_[M-H]-",156.11502972
"LimoneneNegative","3","Inactive","C4H8O4","C4H8O4_[M-H]-",120.04225872
"LimoneneNegative","30","Inactive","C8H10O6","C8H10O6_[M-H]-",202.04773802
